,0,ID,Mileage,Age,Drive-City,Drive-Highway,Drive-Rural,First New,Gender,Income,Education,Conquest,Consumer Reports,Knowledgeable,Fuel Grade,Grade,Marital Status_Divorced/Widowed/Separated,Marital Status_Living With Sig Oth/Dom Prtnr,Marital Status_Married,Marital Status_Single/Not Married
59,4,11639,2,62,0,0,1,0,0,2,3,0,0,0,1,2,1.0,0.0,0.0,0.0
60,3,10386,2,30,1,1,0,1,0,3,3,0,0,0,3,1,0.0,0.0,1.0,0.0
61,0,50904,2,59,1,0,0,0,0,2,4,0,1,0,1,3,0.0,0.0,1.0,0.0
62,4,54230,1,65,1,0,0,0,1,4,3,1,0,0,1,1,0.0,0.0,1.0,0.0
63,1,42870,3,45,1,0,0,0,0,3,5,1,0,0,3,3,0.0,0.0,1.0,0.0
64,2,36066,1,79,0,1,0,0,0,2,2,1,0,0,1,3,0.0,0.0,1.0,0.0
65,7,12421,2,37,1,0,0,0,1,4,3,0,0,0,1,2,1.0,0.0,0.0,0.0
66,6,36451,1,73,0,0,1,0,0,4,4,1,0,1,1,3,0.0,0.0,1.0,0.0
67,7,40694,2,34,1,0,0,0,0,4,4,1,0,0,1,2,0.0,0.0,0.0,1.0
68,6,14233,1,71,1,0,1,0,0,5,5,1,1,0,1,2,0.0,0.0,1.0,0.0
69,4,24913,2,63,0,1,0,0,0,3,5,1,0,1,1,2,0.0,0.0,1.0,0.0
70,7,954,3,35,0,1,0,0,0,2,3,1,0,0,1,1,0.0,0.0,1.0,0.0
71,3,18407,2,24,0,1,0,1,1,3,3,1,0,0,1,2,0.0,0.0,1.0,0.0
72,4,46338,2,64,0,1,0,0,1,3,3,0,0,0,1,2,0.0,0.0,1.0,0.0
73,5,40087,2,51,1,0,0,0,0,3,6,0,0,0,1,1,0.0,0.0,1.0,0.0
74,5,20819,3,52,1,0,0,0,0,4,4,0,1,0,1,3,0.0,0.0,0.0,1.0
75,6,17150,1,66,0,1,0,0,0,5,6,0,0,0,1,1,0.0,0.0,1.0,0.0
76,6,12353,2,67,1,0,0,0,0,4,5,0,0,0,1,1,0.0,0.0,1.0,0.0
77,3,57137,1,26,1,0,0,1,0,2,1,0,0,0,2,2,0.0,0.0,0.0,1.0
78,0,24796,2,55,1,0,0,1,0,4,4,1,0,1,1,1,0.0,0.0,1.0,0.0
79,0,50129,2,57,1,0,0,0,1,2,1,0,0,0,1,1,0.0,0.0,1.0,0.0
80,4,25406,2,65,0,1,0,0,0,4,2,0,0,0,1,1,0.0,0.0,0.0,1.0
81,2,18734,2,75,1,1,0,1,1,4,2,1,0,0,1,1,0.0,0.0,0.0,1.0
82,1,29024,2,40,1,1,0,0,1,3,4,0,0,0,1,3,0.0,0.0,1.0,0.0
83,6,13594,1,69,1,1,0,0,0,3,2,1,0,0,1,2,0.0,1.0,0.0,0.0
84,1,37399,1,42,1,1,1,0,0,2,4,0,0,0,2,2,0.0,0.0,1.0,0.0
85,5,46930,2,50,1,0,0,0,1,3,3,1,0,0,1,1,0.0,0.0,1.0,0.0
86,0,52159,2,55,1,0,0,0,1,3,3,1,0,0,3,1,0.0,0.0,1.0,0.0
87,1,23622,2,46,1,0,0,1,0,2,2,0,0,0,2,3,0.0,0.0,0.0,1.0
88,3,49387,2,20,0,1,0,1,1,3,1,1,0,1,2,3,0.0,0.0,0.0,1.0
89,4,46864,2,65,1,1,1,0,0,4,3,0,0,0,1,2,0.0,0.0,1.0,0.0
90,4,23095,2,60,0,1,0,0,0,5,5,1,0,0,1,2,1.0,0.0,0.0,0.0
91,6,6258,2,68,1,0,0,0,1,3,2,0,0,0,2,1,0.0,0.0,1.0,0.0
92,6,387,3,67,0,0,1,1,0,4,8,0,0,0,1,3,0.0,0.0,1.0,0.0
93,5,19258,2,52,1,0,0,0,1,3,2,1,0,0,1,1,0.0,0.0,1.0,0.0
94,1,45097,2,45,0,1,0,0,0,4,3,0,0,0,1,2,1.0,0.0,0.0,0.0
95,0,14096,1,55,1,0,0,1,1,4,3,1,0,0,1,2,0.0,0.0,0.0,1.0
96,7,45173,2,36,1,0,0,0,1,5,3,1,0,0,1,3,0.0,0.0,0.0,1.0
97,0,55673,1,57,1,0,0,0,1,4,5,0,0,0,1,2,0.0,0.0,1.0,0.0
98,0,851,3,58,1,0,0,0,0,3,4,0,0,0,1,3,0.0,0.0,1.0,0.0
99,5,39041,1,50,1,0,0,0,1,3,3,1,0,0,1,1,0.0,0.0,1.0,0.0
100,7,14283,1,31,1,0,0,0,0,4,4,0,0,1,1,2,0.0,0.0,1.0,0.0
101,6,56895,1,70,1,0,0,0,0,5,4,0,0,0,1,3,0.0,0.0,1.0,0.0
102,5,53551,2,53,0,0,1,0,1,5,5,1,0,0,1,3,0.0,0.0,1.0,0.0
