,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
all,0,0.28613535451,-0.0422675690464,-1.25685338275,0.0857155307015,0.0763616112303,0.146515443402,-0.523915253141,-0.223169603975,-0.0667060845936,-0.0907369332105,-0.339731082185,-0.142233042872,-0.16711979896,-0.325543265879,-0.521767158812,-0.0549844626891,-0.33454349377,-0.312844483039,-0.880099326464,-0.22459186345,0.250810108758,-0.720836860482,0.236793620873,-0.0162696804813,-0.303547371902,-0.0842937974856,0.0745071993913,0.186910403235,-0.0833460439843,-0.061434690977,0.122680064034,0.10917353491,0.0376226588033,0.0237902322906,-0.125108421856,0.101591709654,-0.14412342308,-0.146071983039,0.864898386574,0.078531080519,-0.164523444578,0.054652364571,0.0020983235266,-0.445504608683,0.0629102418783,-0.140046537335
all,1,-0.0656840382031,0.213178960269,0.435881509409,-0.0779749282074,-0.138012827313,-0.385310313099,-0.145629821291,0.149463415938,0.065823070153,0.0360219885836,0.154201415875,-0.0206603864284,0.0506740047262,0.178550474968,0.111670208674,-0.0584010839455,0.0646632066392,-0.0124190279886,0.721682883176,-0.199373509657,-0.18318083746,1.01420367911,-0.186575914715,-0.169722845523,0.210418556837,0.0381372094094,-0.121157604999,-0.155478901615,0.278711283567,-0.0914797413485,0.225053798208,0.0494577908518,-0.187558503363,0.334855812788,-0.183034609639,-0.148568705419,-0.0107241604046,0.260014949409,-0.85508811746,0.12431694225,-0.121768573298,0.0185248458717,-0.0938379550722,-0.0937902709011,-0.357078501969,-0.0175121403237
all,2,-0.588039663285,-0.163628608158,0.335842801458,0.00656388959862,0.0906298487877,0.0550516454117,0.335357823415,0.111604770708,0.0603580312504,0.0406887170332,-0.0498975480262,0.278341744535,0.0807910692986,-0.0524375332675,0.32458528278,0.255120232721,0.117109298995,0.338347990029,-0.289822276103,-0.152411432603,-0.326318333504,-0.187521018202,-0.497789336285,0.0465023978037,-0.278453987884,-0.183630767797,0.141856622033,0.00275484276206,-0.180133004493,-0.158572270956,-0.490320492262,-0.182926731854,0.195704855565,0.152534983133,0.337341186276,-0.0456739590424,0.0339738795708,-0.0318567232312,-0.549877957494,-0.64544113908,-0.298967743684,0.0864954254183,0.190835253007,-0.195400286845,0.241245422969,0.148514936886
all,3,-0.195531455856,-0.218679450367,1.9246308117,0.168658076189,-0.250567431107,0.113962150709,0.78827783258,0.067182181334,-0.0835484872879,0.0824405040199,0.531343440691,0.190675197785,0.261559779884,0.401612810543,0.647900197669,-0.0204281432193,0.438432371412,0.508713828333,0.775322870304,0.994168237337,-0.0135756252968,-0.440186455813,0.159191451642,0.281864789824,0.352354511302,0.20099310567,-0.0349308043535,-0.0242540323584,-0.223954333381,0.534398912883,-0.466352245909,-0.138958118636,0.256823779566,-0.649967922662,0.44178376801,0.107615989297,0.336202649842,-0.278408600879,0.130405254845,-0.0116709406337,0.548799536996,-0.278544635404,0.0816799233521,0.834641470713,0.223885959059,0.142230341764
0,0,0.482397517066,-0.10958827093,-1.2009221095,0.129690145617,0.635805198884,0.0732319922256,-0.769550176872,-0.218412520709,-0.284100384987,-0.195091793807,-0.288061490768,-0.116396828227,-0.329402445191,-0.606598643515,-1.07775811189,-0.0876344382029,-0.581906083884,-0.431341625747,-0.773848814576,-0.483783795426,0.0482150205067,0.262979979984,0.454858429411,0.231863485847,-0.196451480782,0.135889395447,0.227130119283,-0.246513626377,0.384095108253,0.31302161236,-0.361567099632,0.277151831642,0.698957206899,0.407834469129,-0.346591122961,0.200458273197,0.0427713750044,-0.571932954152,-0.0324596805853,-0.479929745314,-0.0258521963055,0.419037444112,0.100529615369,-0.516470535706,-0.101517632076,0.623981628
0,1,-0.00837404292806,0.446184917468,0.381804235208,-0.494218764915,-0.369320721621,-0.0250752738801,0.0137026566768,-0.217605949912,-0.00893245951365,-0.291102897223,-0.0381988183603,-0.146099615094,0.0660887733556,0.423560121285,0.407033682606,-0.325605438027,0.473338861134,-0.160599055014,0.751035350326,-0.230022709177,-0.0152353383586,0.0609008835547,-0.3291231505,-0.116607521589,0.326596671654,0.222093794299,-0.152066656606,0.253255433016,-0.428980617371,-0.31112705376,0.402500050005,-0.665985746972,-0.462262116691,-0.319906042617,0.122042650715,-0.166148201146,-0.614183869721,0.113592649015,0.295156775941,0.919602862903,-0.348903604544,-0.0619352526862,0.0651008495713,0.114207324399,-0.0103473122423,-0.192816520567
0,2,-0.667492200812,-0.187818824609,0.534670792425,0.243887431317,-0.373639453371,0.220670322152,0.48142823614,0.20065610162,-0.0780666116921,0.586362839727,-0.159040301729,0.0396686556115,0.0713808904992,-0.68509173046,0.396796390665,0.417360098756,0.346929199016,0.174105307724,-0.164752086151,0.448503911818,0.501142365227,-0.544709491588,-0.4966031591,-1.08987255023,-0.22115277894,-1.03015628379,-0.566850630493,-0.596313960584,-0.346161985418,0.386065976185,0.49802984353,0.538731826555,0.0384112578341,-0.0759171759101,-0.200909219275,-0.678577631466,0.15863108237,0.735470477241,-0.499123562569,-0.393260484668,-0.807737077682,-0.136312564632,-0.472419195869,0.408959800841,0.421364297869,0.00938177736237
0,3,-1.19865346792,-0.427842052917,1.35465210574,0.229823458345,-0.241611380203,-0.464457960674,0.953767386332,0.606484662545,0.491386241829,0.440147158616,0.819262074528,0.207212371162,0.284497370824,0.749026656479,0.937476116519,0.214980561132,-0.152795894102,0.902258298578,0.183318934629,0.573769543322,-0.259349255028,-0.276566412882,0.0108465389851,0.405006416196,-0.05609233361,-0.0970943724699,0.178826555271,0.320329649863,0.252518853854,-0.495436613994,-0.570066362036,-0.113399569574,-0.603080159873,-0.0473118218624,0.450708666316,0.111150154031,0.593146226638,0.1777657774,0.146402273808,-0.609521473305,1.09952605489,-0.873361117789,-0.063938410014,0.342087788688,-0.242642671705,-0.69018159318
1,0,0.702827719622,-0.0791693378091,-1.16494721903,-5.77798976226e-05,-0.019564618499,0.714872496102,-0.695365657501,0.077319056586,-0.267579059127,-0.443714004171,-0.441381048092,-0.609759243046,-0.0996607093921,-0.193977886983,-0.867412157665,-0.172481216796,-0.768947695125,0.341723029925,-0.226391513043,-0.446142169069,0.410417822771,0.542701627467,0.100935489241,-0.114416067909,-0.605804821801,-0.104263502703,-0.0972234983721,0.611161803415,-0.55181419761,-0.00889127860482,-0.307905638421,-0.209858211021,-0.157540731476,-0.193775528587,0.401118595556,0.20021666879,0.0330249187333,-0.334634015268,0.846372849824,0.0634228800984,-0.197353365113,-0.374293193171,0.556342930269,-0.0626508722247,-0.330633161801,-0.483835022769
1,1,-0.924197824144,-0.0797472549725,-0.0833938256452,-0.316934178323,0.401266406147,-0.690903040987,-0.0272975434831,0.136920825447,0.587751693939,0.688482212041,0.368390708127,0.670600634666,-0.0177302057728,0.112797877902,0.143579854077,0.0321600896411,0.6284342138,-0.689482490574,0.479127048544,0.199764979573,-0.806618210089,-0.66312389474,0.239666818576,0.132152468914,0.137413921902,-0.355103042099,-0.36707142088,-0.745096668979,0.671669112038,-0.484599114073,0.808248852323,0.271966040984,0.476051810895,0.316447177405,-0.757624894428,-0.0627534758486,0.141805998187,0.780145979935,-0.694424716669,-0.139687070116,-0.982822587836,0.123682785856,-0.926710945235,-0.165444944355,0.534528026783,0.165029018553
