ID,Mileage,Age,Drive-City,Drive-Highway,Drive-Rural,First New,Gender,Income,Education,Marital Status,Conquest,Consumer Reports,Knowledgeable,Fuel Grade,Grade
87,3,46,0,0,1,0,1,3,5,Married,0,0,0,1,3
88,3,31,1,1,0,1,1,3,2,Single/Not Married,1,0,0,2,3
89,3,80,1,0,0,0,0,3,2,Married,1,1,0,1,2
90,3,43,1,0,0,0,1,3,2,Married,0,0,0,1,1
91,3,67,0,0,1,0,1,5,3,Married,0,0,0,2,3
92,3,67,1,0,0,0,1,3,2,Divorced/Widowed/Separated,0,0,0,1,1
93,3,34,1,0,0,0,0,3,3,Single/Not Married,0,0,0,1,1
94,3,45,0,1,0,0,1,5,4,Married,0,1,0,1,3
95,3,39,1,0,0,0,1,4,5,Married,0,0,0,1,2
96,3,53,1,1,0,0,1,4,5,Married,0,0,0,3,3
97,3,62,0,1,0,0,0,3,5,Married,0,0,0,1,2
98,3,39,1,0,0,0,1,4,2,Divorced/Widowed/Separated,0,0,0,2,2
99,3,61,1,0,0,0,1,3,2,Single/Not Married,0,0,0,1,1
100,3,59,1,0,0,0,0,5,7,Married,0,0,0,1,2
101,3,37,0,1,0,1,0,2,4,Married,0,0,0,1,1
102,3,72,1,0,0,0,0,2,1,Married,0,0,0,1,3
103,3,60,1,0,0,0,1,3,1,Divorced/Widowed/Separated,0,0,0,1,1
104,3,41,0,1,0,0,1,4,5,Married,0,0,0,1,2
105,3,73,0,1,0,1,0,5,5,Married,0,1,0,1,2
106,3,63,0,0,1,0,1,2,5,Married,1,0,0,1,1
107,3,49,0,1,0,0,1,3,9,Married,0,0,0,2,3
108,3,39,1,0,0,1,1,4,1,Married,1,0,1,1,1
109,3,39,1,0,0,0,0,2,1,Single/Not Married,0,0,1,3,3
110,3,28,1,0,0,1,1,3,2,Single/Not Married,1,0,0,1,1
111,3,55,1,0,0,0,1,3,2,Single/Not Married,0,0,1,2,3
112,3,44,1,1,0,0,0,4,4,Married,0,0,1,1,2
113,3,60,0,1,0,0,0,4,4,Divorced/Widowed/Separated,0,0,0,1,2
114,3,35,1,0,0,0,0,2,5,Married,0,0,1,1,2
115,3,35,0,0,1,0,0,4,5,Single/Not Married,0,0,0,1,2
116,3,59,0,1,0,0,0,2,4,Divorced/Widowed/Separated,0,0,0,2,2
117,3,34,0,0,1,0,1,3,4,Single/Not Married,0,0,0,1,3
118,3,47,1,1,0,0,1,3,5,Married,0,0,0,1,3
119,3,43,1,1,1,0,0,5,6,Married,1,1,1,3,3
120,3,34,1,1,0,1,0,3,4,Married,1,0,0,1,2
121,3,55,0,1,0,1,1,3,2,Living With Sig Oth/Dom Prtnr,0,0,0,1,1
122,3,33,1,0,0,0,0,3,2,Single/Not Married,0,0,0,1,3
123,3,39,0,1,0,0,0,4,4,Married,1,0,0,1,1
124,3,58,1,0,0,0,1,2,3,Single/Not Married,1,0,0,1,3
125,3,56,1,0,0,0,0,5,5,Married,0,0,1,1,3
126,3,56,1,0,0,0,1,3,5,Married,0,0,0,1,2
127,3,54,1,0,0,0,0,3,3,Married,0,0,0,1,3
128,3,72,0,1,0,0,0,2,2,Married,0,0,0,1,3
129,3,78,1,0,0,0,0,4,3,Married,0,0,0,1,3
130,3,52,0,0,1,0,0,2,5,Married,1,0,0,1,3
131,3,44,1,1,0,0,1,4,2,Married,0,0,0,1,3
132,3,66,0,0,1,0,0,3,5,Married,1,0,0,1,2
133,3,69,0,1,1,0,1,2,2,Single/Not Married,0,0,0,1,3
134,3,34,1,1,1,0,0,3,6,Married,1,0,0,1,1
135,3,44,0,0,1,1,0,2,2,Married,0,0,1,1,1
136,3,46,1,1,0,0,1,3,1,Married,0,0,0,2,2
137,3,70,1,0,0,0,0,3,6,Married,0,1,0,1,3
138,3,32,1,0,0,0,0,4,3,Married,1,0,1,3,1
139,3,52,1,1,0,0,0,4,4,Married,0,1,1,2,2
140,3,58,1,0,0,0,1,4,4,Divorced/Widowed/Separated,0,0,0,1,2
141,3,65,0,1,0,0,0,3,4,Married,1,0,0,1,2
142,3,40,1,0,0,0,1,3,3,Married,1,0,0,2,2
143,3,34,1,1,0,0,0,2,2,Married,0,0,1,1,3
144,3,61,0,1,0,0,0,5,3,Married,0,0,1,3,2
145,3,70,1,0,0,0,0,5,7,Married,0,0,0,1,1
146,3,67,0,1,0,0,0,3,2,Married,0,0,0,1,3
147,3,62,1,0,0,0,0,3,5,Married,0,1,0,1,3
148,3,50,0,1,1,0,0,3,3,Single/Not Married,0,0,0,2,2
149,3,85,1,1,0,0,0,3,3,Married,1,0,0,1,1
150,3,26,1,1,0,0,0,3,1,Single/Not Married,0,0,0,1,3
151,3,71,0,0,1,0,0,3,2,Married,0,1,0,1,2
152,3,72,1,1,0,0,0,3,3,Married,1,1,1,1,2
153,3,60,1,0,0,0,0,3,3,Married,0,0,1,3,3
154,3,35,0,1,0,0,1,5,2,Single/Not Married,0,0,0,1,2
155,3,30,1,0,0,1,1,4,3,Living With Sig Oth/Dom Prtnr,1,1,0,1,3
156,3,35,0,0,1,0,0,2,1,Single/Not Married,0,0,0,1,3
157,3,32,0,0,0,1,1,4,4,Single/Not Married,1,1,1,3,3
158,3,35,1,0,0,0,1,1,4,Living With Sig Oth/Dom Prtnr,0,0,0,1,3
159,3,69,1,0,0,0,0,3,5,Married,0,0,0,1,3
160,3,78,0,1,0,0,0,2,1,Married,0,0,0,1,2
161,3,31,0,0,1,0,1,5,6,Living With Sig Oth/Dom Prtnr,0,0,0,1,3
162,3,63,0,0,1,0,0,4,5,Married,0,0,0,1,2
163,3,69,0,1,0,0,1,5,4,Divorced/Widowed/Separated,0,0,0,3,2
164,3,60,0,0,1,0,1,3,7,Married,0,0,0,1,3
165,3,63,1,0,0,0,1,4,4,Divorced/Widowed/Separated,0,0,0,2,3
166,3,67,1,1,0,0,1,4,3,Married,1,0,0,1,3
167,3,63,0,0,1,0,1,3,4,Married,1,0,0,1,2
168,3,46,1,1,0,0,1,4,1,Single/Not Married,1,0,0,1,3
169,3,50,1,0,0,1,1,3,2,Divorced/Widowed/Separated,0,0,0,1,3
170,3,46,1,1,0,0,1,4,4,Married,0,0,0,1,2
171,3,63,1,1,0,0,1,4,5,Married,0,1,0,2,2
172,3,33,1,0,0,0,1,5,7,Married,0,0,0,1,2
173,3,33,1,0,0,1,1,4,2,Single/Not Married,0,0,0,1,2
174,3,56,1,0,0,0,0,3,4,Married,1,0,1,1,2
175,3,31,1,0,0,0,1,3,2,Single/Not Married,0,0,0,1,1
176,3,69,1,0,0,1,1,3,2,Divorced/Widowed/Separated,1,0,0,1,1
177,3,41,0,0,1,1,0,3,3,Divorced/Widowed/Separated,0,0,0,1,2
178,3,71,0,1,0,0,0,5,9,Married,1,0,0,1,3
179,3,49,1,0,0,0,0,3,2,Married,0,0,0,3,3
180,3,30,1,1,0,1,1,3,2,Single/Not Married,1,0,0,1,1
181,3,69,1,1,0,0,0,5,6,Married,0,0,0,1,2
182,3,77,1,1,0,1,1,4,4,Married,1,0,0,1,2
183,3,63,0,0,1,0,0,3,3,Married,0,0,0,1,3
184,3,20,1,1,1,1,0,2,2,Single/Not Married,1,0,0,3,3
185,3,23,1,0,0,0,0,3,2,Married,1,0,0,1,2
186,3,30,1,0,0,0,1,4,1,Married,1,0,1,1,2
187,3,40,1,1,0,0,0,5,5,Married,1,0,0,1,1
188,3,62,1,0,0,0,1,3,4,Married,1,0,0,1,2
189,3,58,1,1,1,0,0,4,3,Divorced/Widowed/Separated,0,0,0,1,2
190,3,33,1,1,0,0,1,4,2,Single/Not Married,1,0,0,2,1
191,3,65,1,1,0,0,0,3,4,Married,0,0,1,3,1
192,3,52,1,0,0,0,0,3,4,Married,1,0,0,1,1
193,3,38,0,1,0,0,1,4,3,Single/Not Married,1,0,0,1,1
194,3,42,0,1,0,1,0,2,5,Married,0,0,0,1,2
195,3,83,1,0,0,0,0,5,5,Married,0,0,0,1,3
196,3,27,0,1,0,1,1,4,5,Married,0,0,0,1,1
197,3,58,0,1,0,0,0,4,6,Married,1,0,0,1,3
198,3,85,1,1,0,0,0,3,2,Divorced/Widowed/Separated,1,0,0,1,2
199,3,47,1,1,0,0,0,3,4,Married,0,0,0,1,3
200,3,60,1,0,0,0,0,5,4,Married,0,0,1,1,2
201,3,85,1,0,0,0,1,5,4,Divorced/Widowed/Separated,0,0,0,3,3
202,3,38,1,1,1,0,0,2,2,Married,1,0,0,1,1
203,3,63,1,1,0,0,1,5,3,Single/Not Married,0,0,0,3,2
204,3,69,0,1,0,0,0,2,4,Living With Sig Oth/Dom Prtnr,0,0,0,1,2
205,3,78,1,1,0,0,0,5,3,Married,0,1,0,1,1
206,3,47,1,0,0,0,1,5,2,Divorced/Widowed/Separated,0,0,0,1,1
207,3,57,1,1,0,0,1,1,5,Married,1,0,0,1,3
208,3,72,0,0,1,0,1,3,2,Divorced/Widowed/Separated,0,0,0,1,1
209,3,53,1,0,0,0,1,3,1,Divorced/Widowed/Separated,0,0,0,1,1
210,3,68,1,0,0,0,1,2,1,Divorced/Widowed/Separated,0,1,0,1,2
211,3,22,0,0,1,0,1,3,3,Living With Sig Oth/Dom Prtnr,0,0,0,3,2
212,3,34,0,1,0,0,1,3,3,Divorced/Widowed/Separated,0,0,0,1,1
213,3,54,0,1,0,0,0,2,3,Married,1,0,0,1,2
214,3,67,1,0,0,0,0,3,3,Single/Not Married,0,0,0,1,3
215,3,54,0,0,1,0,0,3,5,Married,0,1,0,1,3
216,3,59,1,1,0,1,1,4,5,Divorced/Widowed/Separated,0,0,0,1,1
217,3,63,1,0,0,0,0,5,5,Married,0,0,0,1,1
218,3,65,1,0,0,1,0,4,3,Married,1,0,0,1,2
219,3,58,1,1,0,0,0,4,5,Married,0,1,0,1,3
220,3,37,0,1,0,0,1,4,5,Married,0,0,0,1,3
221,3,28,1,1,0,0,1,4,4,Married,0,0,1,2,2
222,3,59,1,0,1,0,1,2,4,Married,0,1,1,1,2
223,3,80,0,0,1,0,0,3,4,Married,0,0,0,1,2
224,3,33,0,1,0,0,1,3,2,Married,1,0,0,1,2
225,3,70,1,0,0,0,0,4,3,Married,0,1,0,1,1
226,3,29,0,1,0,1,1,4,2,Single/Not Married,0,1,0,2,2
227,3,36,1,0,1,0,0,5,4,Single/Not Married,0,0,0,1,3
228,3,67,1,0,0,0,1,3,2,Single/Not Married,0,0,0,1,1
229,3,79,0,0,1,0,0,2,1,Married,0,0,0,1,2
230,3,57,0,0,1,0,1,3,3,Married,0,0,0,1,2
231,3,59,0,0,1,0,0,4,5,Married,0,0,0,1,3
232,3,53,1,0,0,0,1,2,3,Single/Not Married,1,0,0,1,2
233,3,71,0,0,1,0,0,5,5,Married,1,0,0,1,2
234,3,68,1,0,0,0,1,4,3,Married,0,0,0,1,2
235,3,36,0,0,1,1,1,3,5,Divorced/Widowed/Separated,1,0,1,2,3
236,3,50,1,0,0,0,0,3,1,Single/Not Married,0,0,0,1,2
237,3,73,0,0,1,0,0,4,4,Married,0,0,0,1,3
238,3,35,0,1,1,0,1,4,2,Single/Not Married,0,0,0,1,2
239,3,69,0,0,1,0,0,3,3,Married,1,0,0,1,2
240,3,56,0,1,1,0,0,5,7,Married,1,0,0,1,3
241,3,50,0,1,0,0,1,4,2,Single/Not Married,1,0,0,1,2
242,3,67,1,1,0,1,0,2,2,Divorced/Widowed/Separated,1,0,1,1,1
243,3,40,1,0,0,0,1,2,1,Single/Not Married,0,0,0,3,2
244,3,31,1,1,0,0,1,4,4,Married,1,0,0,3,3
245,3,57,0,1,1,0,0,3,5,Living With Sig Oth/Dom Prtnr,0,0,0,1,3
246,3,42,0,1,0,0,1,3,2,Single/Not Married,0,0,0,1,2
247,3,60,1,1,1,0,0,2,1,Living With Sig Oth/Dom Prtnr,1,0,0,1,2
248,3,36,1,1,1,0,0,5,5,Married,0,0,0,1,2
249,3,36,1,0,0,0,0,3,3,Living With Sig Oth/Dom Prtnr,0,0,0,2,1
250,3,49,0,1,0,0,1,4,5,Married,0,0,0,1,2
251,3,74,0,1,0,0,0,3,2,Single/Not Married,0,0,0,1,1
252,3,74,1,0,0,0,0,3,5,Married,0,0,0,1,3
253,3,29,1,1,0,0,1,2,3,Married,1,0,0,1,3
254,3,61,1,0,0,0,0,4,5,Married,0,1,1,1,3
255,3,63,0,0,1,0,1,4,3,Married,0,0,0,2,3
256,3,41,1,0,0,0,1,4,5,Single/Not Married,1,0,0,1,3
257,3,70,1,0,0,1,1,3,2,Married,1,0,0,1,1
258,3,49,1,0,0,0,1,2,2,Living With Sig Oth/Dom Prtnr,0,0,0,1,1
259,3,62,0,1,0,0,0,5,5,Married,1,0,0,1,3
260,3,50,1,1,1,0,0,3,2,Divorced/Widowed/Separated,0,0,0,1,2
261,3,63,1,1,0,0,0,4,3,Single/Not Married,1,0,0,1,2
262,3,74,0,0,1,0,0,3,2,Married,1,0,0,1,2
263,3,42,1,0,0,0,1,5,5,Single/Not Married,0,0,0,2,3
264,3,44,1,0,0,0,1,3,5,Married,1,0,1,1,1
265,3,42,1,0,0,0,0,4,5,Married,0,0,0,1,3
266,3,38,1,1,1,0,1,2,3,Married,1,0,0,1,1
267,3,54,0,1,0,0,0,4,4,Single/Not Married,0,1,0,2,3
268,3,82,0,1,0,0,0,2,2,Married,0,0,1,1,3
269,3,68,1,1,1,0,0,5,3,Married,1,0,0,1,3
270,3,27,1,1,0,0,0,1,6,Single/Not Married,0,0,1,1,2
271,3,65,1,0,0,1,1,5,5,Married,1,0,1,1,3
272,3,29,1,1,0,0,1,4,6,Married,0,0,0,1,3
273,3,29,0,1,0,0,1,5,4,Living With Sig Oth/Dom Prtnr,1,0,0,1,2
274,3,69,1,0,0,0,1,3,1,Married,0,0,0,1,2
275,3,36,1,0,0,0,1,5,6,Married,0,0,0,1,3
276,3,72,1,1,0,0,0,3,5,Married,0,0,1,1,3
277,3,64,1,0,0,0,1,4,2,Married,0,0,0,1,2
278,3,64,1,1,0,0,0,5,3,Married,0,1,0,1,3
279,3,52,1,1,0,0,0,2,2,Divorced/Widowed/Separated,0,0,1,1,2
280,3,51,0,1,1,0,1,4,3,Married,0,0,0,1,1
281,3,26,0,1,0,0,0,1,2,Married,1,0,1,1,1
282,3,70,1,0,0,0,1,5,6,Living With Sig Oth/Dom Prtnr,0,1,0,1,3
283,3,51,1,0,0,0,1,1,2,Divorced/Widowed/Separated,1,0,0,1,1
284,3,64,1,0,0,0,0,4,3,Married,0,0,0,1,1
285,3,59,0,0,1,0,0,3,2,Married,1,0,0,1,1
286,3,19,0,1,0,1,0,3,1,Single/Not Married,1,0,0,1,2
287,3,48,0,0,1,0,0,4,3,Married,1,0,0,1,2
288,3,56,1,1,0,0,0,5,4,Married,0,0,1,1,2
289,3,50,1,0,0,1,0,4,5,Married,0,0,0,1,3
290,3,63,1,1,0,0,1,4,3,Divorced/Widowed/Separated,0,0,0,3,3
291,3,68,1,0,0,0,1,4,5,Married,1,0,0,1,2
292,3,48,1,1,1,0,0,3,4,Married,0,0,0,3,3
293,3,56,0,0,1,1,1,1,1,Single/Not Married,0,0,0,1,2
294,3,51,1,1,1,0,0,4,5,Married,0,0,0,3,2
