,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
all,0,0.922054640705,-0.490084612311,-0.0338831700295,0.11887056804,-0.0551340347659,-0.0046950828573,0.197145251428,0.226261772619,-0.119252255467,0.00748279363441,-0.0707938212217,-0.118468101466,-0.0190521773715,0.0469934973025,0.326490526104,0.0945824109075,-0.283637291088,0.0864387643277,0.0235262357157,0.166847683926,-0.104700307093,0.11402613533,0.84094400008,-0.308110323837,0.0216168340898,-0.378967740563,-0.484198288031,0.146993489084,0.203332755486,-0.196436271337,0.270479844021,-0.285466801039,-0.045888265914,0.430372073562,-0.0810791454359,-0.022767374628,-0.303438608711,-0.399287282769,0.381455651931,0.444278895092,0.191322970589,-0.200230991546,-0.263117425878,-0.0469294439097,0.308980245786,0.194590530927,-0.465162359725,0.351681571558,-0.583702544789,-0.210526333917,-0.0920262710184,-0.145596762542,-0.179090477704,-0.204119098909,-0.177997652846,-0.353454085213,-0.0775011460654,-0.267152310227,-0.319373178292,-0.352732333404,-0.260866061538,-0.197168251358,-0.000809941134951,0.19187422896,0.164750319955,-0.0116585105199,-0.205652377365,0.483332874372,0.0391969885873,0.0418441699544,-0.977454906435,0.367164368805,0.156060146375,-0.156001275076,0.367465800148,-0.168426451587
all,1,-0.744951304694,0.472632546631,0.0244232813627,-0.149192863024,0.00808111925644,0.00236975092126,-0.182156904101,-0.178008119699,0.132183356236,-0.036969609051,0.104888953791,0.059888090745,0.0376469640521,0.00846454486973,-0.224653375991,-0.0390877496739,0.216846438067,-0.0437975164807,-0.0354542427239,-0.10596575497,0.119434713298,-0.0375465874982,-0.646743071513,-0.104449037921,-0.103598871047,0.456234519956,0.40628368363,-0.111199288623,-0.433892663403,-0.172510858044,-0.188452380367,-0.00378521651383,-0.100116839472,-0.451983401267,0.0535964638892,0.142584528841,-0.120501942188,0.229249838597,-0.0495118815826,-0.298379874827,-0.114930642541,0.170396183054,0.167020167529,0.131150762005,-0.24449816908,-0.0650658956074,0.195156818886,-0.146840407512,-0.0326397096308,0.0622103559953,-0.0821516080842,-0.00871986417668,-0.0611102507165,0.0569614029569,0.096973664806,0.132865978579,-0.0765803570192,0.156915014778,-0.0116762474515,0.425257452853,0.0707498007698,-0.169310147685,-0.130393784613,0.0979928946627,-0.131061579962,-0.0634068148174,0.212353497321,-0.374358866868,0.116086863213,-0.0438098954221,0.829010467073,-0.404042080314,-0.220116712071,0.169391845169,-0.363365691644,0.212698720331
all,2,-1.5926481658,-0.203483835055,0.0426311543936,0.102057280469,0.226756450306,0.00392910803841,-0.0671641900271,-0.134967808885,-0.0459281193232,0.174915596725,-0.20215070639,0.287392680212,-0.124198956441,-0.31936762918,-0.3053654837,-0.264127218817,0.171454072457,-0.173493468965,0.0840829976553,0.0156613882014,-0.0592523435349,-0.440502162321,-0.866476486645,0.502593860238,0.267775707328,-1.02192384428,0.450845380429,-0.0811979932109,0.645840876944,0.888343286328,-0.544059427271,0.918162883778,0.557061987219,0.573714733504,0.0958286264299,-0.582316571877,0.636049161822,0.278990905363,-0.577610818324,-0.640855681808,-0.425564439618,0.0831832832945,0.148480222339,-0.507006475402,-0.223372210737,-1.05330153538,0.604638900214,-1.06191944691,1.02345664669,0.25638542992,0.827831357578,0.322118570085,0.284225914571,0.324514698667,0.130602572961,0.355534630857,0.144354256024,0.179182291419,0.579065733528,0.233497674724,0.574039385896,0.620541848837,0.358160142893,-0.577766065118,0.461260738758,0.236651395682,0.15141095897,-0.324678988242,-0.291781281399,-0.217743076876,0.620356645248,0.00783011845478,-0.227959906998,-0.11589962013,0.0764230660455,-1.14674194542
all,3,-0.078428896561,0.0227545223507,-0.0545380476772,0.624183847777,-0.0979074429459,0.107196416952,0.340666062518,-0.737252955894,-0.34962401661,-0.0511025860053,-0.0843102823079,-0.501090959152,0.143845812752,-0.351857933697,-0.869637930303,-0.340380989652,0.315556982275,-0.316443158279,-0.107438724169,-0.668084794282,-0.341458399006,-0.410245752316,-1.06275695992,0.209280915583,0.194484314245,0.514031858256,-0.293512046401,-0.617960414858,1.0229495363,0.214645873601,0.335550621539,0.156307257628,-0.369347910022,-0.304759936761,-0.130417332408,-0.49426222388,0.361421279757,-0.0616153075048,-0.164926761465,0.109189402473,-0.089812912101,-0.135496140564,0.408461093405,0.0142210372688,0.594493480498,0.271539984338,0.852932810607,0.147077961588,0.478390890849,0.606802705301,-0.0306892089543,0.231992912388,0.802853829788,0.00681672052062,-0.14455646647,0.274135915218,0.571455302082,-0.154147338565,0.562094787367,-0.359271189339,0.321902544974,1.234485173,0.483988283268,-0.562666810377,0.362086573325,-0.998270206951,0.530628277767,-0.152318972655,-0.101033472224,0.0292384436583,-0.0669969411052,-0.0981834968672,-0.523976509098,-0.106409016,-0.148499757452,-0.601965584558
0,0,0.886047254083,-0.301215235711,-0.0488422844155,-0.213636327706,0.0463745290506,0.0784065017799,-0.267932009132,-0.291914786027,-0.0808197010421,-0.11727963197,0.105084710495,-0.19422590259,0.125449155412,-0.337705382801,0.131494286063,0.0810526560087,-0.291194104305,0.0504993649091,0.0406240928937,0.710446207086,-0.0631426783265,0.206984857626,0.860197681254,-0.252252229971,0.34557430755,-0.133656417681,0.127418565726,0.0482032458346,0.247842576604,-0.319708459855,0.338622368923,-0.291792224352,-0.0469911885984,0.575863263991,-0.119059034436,-0.0883189823421,0.131943324731,-0.75229555536,0.106064835671,0.940672992866,0.0104609567587,0.0247070384624,0.304052935889,-0.22563744104,0.398287550814,0.131000779743,-0.693879486742,0.312838885214,-1.36103853398,-0.234386095278,0.200868800172,-0.148874097741,-0.359927053989,-0.247409649511,-0.135481543464,-0.626545239211,-0.352284157608,-0.257755837193,-0.264278888639,-0.245799976371,-0.348176432271,-0.153555973209,-0.275405835461,0.527137122176,0.241717242568,-0.0579958132885,0.116518414899,-0.00348507261667,0.0296341495483,0.162253305843,-0.0858921190142,0.208939831124,0.130778806009,-0.320357573276,0.190404516427,-0.344230685696
0,1,-0.71777187917,0.32014847017,-0.00679540251168,0.0195875757371,-0.15015499839,-0.0420184968723,-0.0211606227953,0.298186053874,0.111349134211,-0.0697271913231,0.0624734198398,0.152113146598,-0.065341689697,0.36311878296,-0.0424546486921,-0.0530337264807,0.181538370561,-0.00237159947525,-0.0472125509941,-0.315984234948,0.0343291450253,-0.0212852997181,-0.555508386998,-0.501914280222,-0.252451200774,0.138303619148,-0.134396633116,-0.129618145205,-0.610734303553,-0.273448882444,-0.133385015954,-0.162540325954,-0.197320141776,-0.552023487563,0.0593081907525,0.238718080258,-0.448667267416,0.429288605885,-0.0599347710141,-0.747797976672,0.0770500609798,-0.0880894675565,-0.154016567143,0.470277892887,-0.376380709323,0.153776381581,0.242247277457,-0.0295833922125,-0.00316532722295,-0.0228126964005,-0.409234947868,-0.052092607563,-0.158127261871,0.000375876878507,0.0256237856553,0.135368479439,-0.0614422570789,0.0974603365542,-0.0757553316378,0.36377816313,0.0399910424324,-0.3161636733,-0.157670524767,0.189663040253,-0.181661367626,0.156232243574,-0.0477511183066,-0.0516486531225,0.323898521608,-0.194801691144,-0.00335995094747,-0.3681303955,-0.18223476058,0.104397879908,-0.176061132003,0.394172517956
0,2,-1.06165967216,-0.157132201492,0.24631799083,0.199989029858,0.186976473862,-0.16693227474,0.46914434228,-0.0727687601911,-0.156982790655,0.32203631373,-0.456840945645,0.0098103082858,-0.0753059838769,-0.387442973551,-7.10895466714e-05,-0.023181128339,0.180190933704,-0.0400694163061,0.193636964786,-0.882891771813,0.0140827413516,-0.646150051733,-0.714986995014,0.782566547289,0.0428213379355,-0.63727234681,0.367643266767,0.358118305757,0.609302414644,0.830743751754,-0.86885801492,0.790818097067,0.64300238956,0.369413983611,0.0410940159958,-0.590677700303,0.904858235919,0.201824789068,-0.123455842128,-0.549075913572,-0.458805541955,0.305762621727,-0.606212710467,-1.02427154959,0.346857114849,-1.61997455111,0.331875564222,-1.00908789054,1.1671740333,0.655925434033,0.779273305308,0.25334307025,0.409864077001,0.320458382544,0.203568888585,0.50934532231,0.401747651498,0.0891300710904,0.328226378674,0.15119519411,0.503366536937,0.577818376747,0.663400522767,-0.867474637574,0.347125823514,-0.574789554634,0.229551229886,-0.00497060756667,-0.318447762697,0.147450427191,0.54724314122,0.142935380219,-0.296684427238,0.106960218104,-0.141960952434,-0.845211725125
0,3,0.431438626329,-0.769690906115,-0.283901436461,0.771379979061,0.546581085104,0.48781565912,0.849479281871,-0.311078101002,0.153156501694,0.708071471863,-0.366808529692,-0.276845258623,-0.0243657373553,-0.215953360666,-0.802442702358,-0.479431017762,0.0630979795026,-0.286565873347,-0.170816354257,-0.522901537806,-0.140472698502,-0.268524513514,-1.06364025287,0.449139458416,-0.0719464273333,0.432314161132,-0.233942670321,-0.633933881335,1.52860992813,0.351768350637,0.361349842781,0.379997530592,0.0661530500576,-0.242385444083,-0.37956536588,-0.22685059651,-0.146114964817,-0.00781914775855,-0.0319976551618,0.320009440603,0.183932516727,-0.19939798232,0.733403289323,-0.108060088345,0.238676672143,0.26824908389,0.659721310878,0.570902854155,0.384666601881,-0.124250713238,0.282228154067,0.318047282839,1.19781529076,0.0523834522212,-0.418592192188,-0.0624375674224,0.554206173272,-0.13409295639,0.582946985328,-0.480250272761,0.297084753566,0.852512867713,0.332258932127,-0.522733796641,0.327291592909,-0.854198865646,-0.0396321895842,0.0664557680365,-0.162410361692,-0.281343810164,0.0408766224166,-0.162539995591,-0.457865635585,0.336827279668,0.000867091572729,-0.896805700794
1,0,0.700205849066,-0.446036478231,-0.290091315688,-0.0707913368218,0.226517893501,-0.0384398399089,0.321121190194,0.440426849412,-0.171696893371,0.0503410626427,-0.190402679847,0.067641690336,-0.188086501425,0.257602322907,0.569901358281,-0.00301464495407,-0.235236880967,-0.0385705063184,0.136889684044,-0.828965711856,-0.253678843768,-0.340085477503,0.803679865891,0.0287391071325,0.496616319731,0.315575833294,-1.2246753324,-0.133862012395,0.462000217954,-0.892674814137,0.426469206045,0.042905127457,-0.0198735347239,0.373512305165,0.107782772144,-0.0723139174031,0.0,-0.545734964339,0.560302642045,-0.707918905818,0.154478229658,-0.166916905624,-0.132274189331,0.161400829473,0.41620821334,-0.00215328539138,-0.275920672405,-0.100208519042,0.493629113545,-0.0221977080066,-0.272619481826,-0.519290831046,-0.406457567548,-0.00619367826085,-0.413319276915,-0.0800463771076,-0.10076850888,-0.243794766344,-0.173708124231,0.0159196068261,-0.178055056377,0.00711523867769,0.187551348589,-0.174658222441,0.246152402716,1.08469062108,-0.155569307359,0.221321495964,0.732917737634,-0.417410265668,-0.675437968712,-0.218615166981,-0.175962203864,-0.319590560361,0.253613763223,-0.132456706131
1,1,-0.64430319312,0.494767884668,0.176809130911,-0.174170966412,-0.203044799674,0.0462856879605,-0.316570458809,-0.363938348126,0.169599114906,0.05296685639,0.205049170559,-0.158589204111,0.228431809269,-0.20021175798,-0.583431979512,0.0425398340445,0.225020983498,0.0332217958152,-0.0273747260598,0.883766622859,0.25729238079,0.445538412244,-0.705120830987,-0.0120574288233,-0.405671439198,-0.310561554679,1.21743879,0.126228034226,-0.39118414964,0.969789391204,-0.464194750333,-0.0969265650339,-0.0175077601157,-0.281838514516,-0.0216442047582,0.158335606765,0.0,0.388605562786,-0.488181724892,0.721697895686,-0.0897109622824,0.157099963844,0.162469229002,-0.0497886332801,-0.395771746791,0.0518077581844,0.327047792141,0.195007014133,-0.652757077771,0.0419499655465,0.0929688246312,0.399226602693,0.298900275234,-0.0262603400905,0.410696520165,0.104584076902,0.101208482997,0.314857349059,-0.0111234398939,-0.0434151775213,0.209944324479,-0.377926264966,-0.0910550104212,0.112765227549,-0.225339088239,-1.31812531044,0.123760199009,-0.127847454407,-0.646466760317,0.446821453827,0.526611416933,0.229635250974,0.223654964866,0.364835106072,-0.175141415047,0.18155819331
