ID,Year,Make,MakeSeries,Segment,4Region,9Region,Cluster,YNV_GLB_16,Not Consider Other Makes,Not Consider Other Segments,OVC_US_2C1_1,OVC_US_2C1_2,OVC_US_2C1_3,OVC_US_2C1_4,OVC_US_2C1_5,OVC_US_2C1_6,OVC_US_2C1_7,OVC_US_2C1_8,OVC_US_2C1_9,OVC_US_2C1_10,OVC_US_2C1_11,OVC_US_2C1_12,OVC_US_2C1_13,OVC_US_2C1_14,OVC_US_2C1_15,OVC_US_2C1_16,OVC_US_2C1_17,OVC_US_2C1_18,OVC_US_2C1_19,OVC_US_2C1_20,Cus_BrandExp,Advertising,Audio,Bluetooth,Camera,Comfort,Dealer,Disappointed,DQR,Economy,Engine,Exterior,Features,Handling,Heated Seats / Strg,Interior,Maintenance,Navigation,Performance,Price,Quietness,Ride,Roominess,Safety,Seats,Styling,Transmission,Trunk,Wheel,Had Exterior Problem,Had DEXP Problem,Had FCD Problem,Had AEN Problem,Had Seat Problem,Had HVAC Problem,Had INT Problem,Had ENG Problem,Had Problem,Had Severe Problem,Had Very Severe Problem,Taken to Dealer,Problem Fixed,APEAL_Index,EXT_Index,INT_Index,SS_Index,AEN_Index,Seats_Index,HVAC_Index,DD_Index,ENGTRN_Index,VDS_Index,FUEL_Index,APEAL_OSAT
B349254Y,2014,Volkswagen,Volkswagen Jetta,Compact Car,South,South Atlantic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999986098,1,1,1,0.999905902,1,1,1,1,1,1,1
B349255Z,2014,Volkswagen,Volkswagen Jetta,Compact Car,Midwest,West North Central,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0.545377266,0.666666667,0.552655266,0.724583426,0.382881725,0.684257315,0.453000856,0.463320335,0.717850437,0.753413548,0.838111111,0.666666667
B349276L,2014,Volkswagen,Volkswagen Jetta,Compact Car,Midwest,East North Central,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356437335,0.444444444,0.444444444,0.432248389,0.459518662,0.444444444,0.444444444,0.542201335,0.568465376,0.555555556,0.444444444,0.666666667
B349299A,2014,Volkswagen,Volkswagen Golf,Compact Car,Midwest,East North Central,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5930718,0.73904781,0.737429298,0.707002111,0.666648262,0.693180429,0.625018057,0.752024798,0.706073837,0.681620727,0.444444444,0.777777778
B3492A6J,2014,Volkswagen,Volkswagen Jetta,Compact Car,Northeast,Middle Atlantic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713552831,0.777777778,0.777777778,0.777782715,0.77770459,0.666666667,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.888888889
B3492B7V,2014,Volkswagen,Volkswagen Jetta,Compact Car,Midwest,East North Central,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.298169433,0.555555556,0.333333333,0.321161964,0.333327297,0.278952451,0.444444444,0.333333333,0.555555556,0.294381673,0.666666667,0.333333333
B349338F,2014,Volkswagen,Volkswagen Jetta,Compact Car,South,West South Central,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970912572,1,1,0.999777827,0.936570141,1,0.958740318,0.98898999,1,0.928851559,0.949222222,1
B349352U,2014,Volkswagen,Volkswagen Jetta,Compact Car,Northeast,Middle Atlantic,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.57192713,0.57650419,0.666666667,0.601255277,0.666603935,0.666666667,0.512462357,0.605495006,0.888888889,0.557944206,0.666666667,0.666666667
B349382Q,2014,Volkswagen,Volkswagen Golf,Compact Car,South,South Atlantic,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949589931,0.807034851,0.986720894,0.94513808,0.976191487,0.964638797,0.978775655,0.98898999,1,0.98721239,1,1
B349386U,2014,Volkswagen,Volkswagen Jetta,Compact Car,West,Mountain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622444835,0.92676313,0.666666667,0.719240169,0.515491209,0.555555556,0.666666667,0.729049317,0.666666667,0.628303836,0.777777778,0.888888889
